Perplexity:	7.164864 at step 126126 using 0:02:35.813120.
Perplexity:	60.672047 at step 127127 using 0:02:36.309467.
Perplexity:	29.161886 at step 128128 using 0:02:36.659892.
Perplexity:	49.163097 at step 129129 using 0:02:39.283602.
Perplexity:	14.565342 at step 130130 using 0:02:36.137037.
Perplexity:	13.196360 at step 131131 using 0:02:36.202546.
Perplexity:	30.989378 at step 132132 using 0:02:39.581743.
Perplexity:	1.921363 at step 133133 using 0:02:39.989426.
Perplexity:	2.260978 at step 134134 using 0:02:36.519406.
Perplexity:	13.238803 at step 135135 using 0:02:36.176747.
Perplexity:	25.893225 at step 136136 using 0:02:37.197388.
Perplexity:	9.637851 at step 137137 using 0:02:40.386329.
Perplexity:	11.473144 at step 138138 using 0:02:36.074427.
Perplexity:	45.962574 at step 139139 using 0:02:35.970826.
Perplexity:	12.702164 at step 140140 using 0:02:35.725670.
Perplexity:	1.013127 at step 141141 using 0:02:39.369798.
Perplexity:	25.926918 at step 142142 using 0:02:36.255161.
Perplexity:	9.084299 at step 143143 using 0:02:36.638498.
Perplexity:	53.771641 at step 144144 using 0:02:36.189819.
Perplexity:	1.276496 at step 145145 using 0:02:40.142860.
Perplexity:	5.934282 at step 146146 using 0:02:35.719625.
Perplexity:	19.554022 at step 147147 using 0:02:36.131741.
Perplexity:	2.046955 at step 148148 using 0:02:39.983115.
Perplexity:	1.543579 at step 149149 using 0:02:36.214184.
Perplexity:	5.499474 at step 150150 using 0:02:36.565892.
Perplexity:	15.885406 at step 151151 using 0:02:35.496055.
Perplexity:	24.755278 at step 152152 using 0:02:40.321425.
Perplexity:	34.218262 at step 153153 using 0:02:36.135502.
Perplexity:	20.185005 at step 154154 using 0:02:35.915000.
Perplexity:	1.020741 at step 155155 using 0:02:36.296749.
Perplexity:	2.873004 at step 156156 using 0:02:39.905221.
Perplexity:	6.507441 at step 157157 using 0:02:35.455587.
Perplexity:	2.993468 at step 158158 using 0:02:39.657899.
Perplexity:	1.004077 at step 159159 using 0:02:37.093654.
Perplexity:	4.023786 at step 160160 using 0:02:40.366336.
Perplexity:	6.262211 at step 161161 using 0:02:36.420308.
Perplexity:	33.191959 at step 162162 using 0:02:36.751898.
